scorer,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000,DLC_mobnet_100_Shank3AutismMouseModelJul6shuffle1_520000
bodyparts,snout,snout,snout,tailbase,tailbase,tailbase,leftear,leftear,leftear,rightear,rightear,rightear,leftflank,leftflank,leftflank,rightflank,rightflank,rightflank,leftfrontpaw,leftfrontpaw,leftfrontpaw,rightfrontpaw,rightfrontpaw,rightfrontpaw,leftbackpaw,leftbackpaw,leftbackpaw,rightbackpaw,rightbackpaw,rightbackpaw
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,488.1181969642639,365.12225103378296,0.124676913022995,466.2282507419586,461.2939085960388,0.9952665567398071,480.1392502784729,307.9087981209159,0.6986650824546814,511.82147455215454,311.67398166656494,0.9701449871063232,452.9524740576744,371.45536881685257,0.9995848536491394,527.0403900146484,384.95828437805176,0.9978014230728149,466.69659423828125,365.26428747177124,0.010108113288879395,512.0989017486572,352.62736415863037,0.025621503591537476,450.394215464592,398.0161347389221,0.05630722641944885,502.5644624233246,433.61228132247925,0.04828667640686035
9,493.90078568458557,355.1524651646614,0.013478666543960571,482.31026339530945,428.7460563778877,0.9988235235214233,484.78077071905136,276.5942487716675,0.7658333778381348,514.1923818588257,289.929461479187,0.9897832870483398,454.67548990249634,346.3550102710724,0.999018669128418,529.8449037075043,362.5568400621414,0.9980689287185669,466.69659423828125,357.6606512069702,0.0035826563835144043,518.0938975811005,313.87854957580566,0.027398377656936646,450.7222225666046,375.102091550827,0.07366064190864563,508.7190030813217,391.39968490600586,0.03281897306442261
10,496.4626615047455,314.27529668807983,0.1841920018196106,491.36815416812897,403.892157882452,0.9963568449020386,484.78077071905136,250.32970309257507,0.887566328048706,515.8224509209394,265.23155784606934,0.9874073266983032,457.7399649620056,319.4904217720032,0.9982554912567139,531.0623949170113,330.614790558815,0.9988080263137817,470.87523555755615,354.1301724910736,0.07177093625068665,522.6333601474762,310.4171667098999,0.16838011145591736,458.87939071655273,347.1062331199646,0.09629866480827332,512.1723735332489,374.6104393005371,0.4093506336212158
11,496.9333953857422,306.28417110443115,0.04436534643173218,491.5216827392578,387.10828882455826,0.9990717172622681,484.78077071905136,229.76334607601166,0.9948091506958008,515.8224509209394,240.79071497917175,0.9964017868041992,459.91614500433207,301.7490917444229,0.9988982677459717,535.0873181819916,312.33209800720215,0.9988715648651123,473.1659400463104,341.68173348903656,0.005797266960144043,523.6268844604492,290.95305252075195,0.025802254676818848,458.87939071655273,311.1443316936493,0.07938316464424133,514.5840938091278,358.29654693603516,0.023579031229019165
12,504.98968744277954,290.11702251434326,0.04152822494506836,493.5273047685623,365.1091557741165,0.9882780909538269,486.5209798812866,214.00240683555603,0.9929869771003723,518.2836363315582,219.53222978115082,0.9818944931030273,462.9987349510193,283.2404975295067,0.9989655017852783,535.6684608459473,289.15074586868286,0.9992164373397827,477.84143114089966,325.84844052791595,0.005765974521636963,524.5867233276367,261.4306149482727,0.01696595549583435,459.177006483078,288.48921966552734,0.04538843035697937,520.9243750572205,346.8539276123047,0.10218381881713867
13,508.44171953201294,276.12264497578144,0.04989635944366455,498.24973344802856,349.0045597553253,0.9791646599769592,488.92691564559937,188.75580203533173,0.9913357496261597,518.5535831451416,196.06085347384214,0.9820195436477661,464.3239426612854,256.23299074172974,0.9989479780197144,536.8487873077393,262.58353972435,0.9989540576934814,479.94057750701904,290.6170597076416,0.09412160515785217,524.6118524670601,234.36488008499146,0.034253865480422974,461.67849493026733,284.40208038687706,0.07485264539718628,526.2668166160583,325.29393577575684,0.35434335470199585
14,508.81992626190186,261.14629793167114,0.02355015277862549,500.1233326047659,314.1753615140915,0.9973204135894775,490.04205989837646,173.3301144838333,0.989174485206604,519.2918844223022,174.0080327987671,0.9585274457931519,465.9142141342163,236.18786358833313,0.9990894794464111,536.9237565994263,235.24769097566605,0.9994544982910156,480.88326358795166,234.26463174819946,0.008552610874176025,526.0984535217285,212.69027364253998,0.004022806882858276,461.7615690231323,261.9786355495453,0.034940630197525024,530.0756149291992,309.13845014572144,0.09010544419288635
15,511.4857940673828,208.21740579605103,0.1184958815574646,500.1233326047659,289.85782122612,0.9805372953414917,490.8974984884262,148.12664279341698,0.9916366934776306,520.412712097168,144.40339517593384,0.9420859813690186,466.63976883888245,211.97077668085694,0.9993203282356262,537.5548982620239,211.4564504623413,0.998444139957428,481.32506561279297,166.68905639648438,0.06806978583335876,529.2594652175903,177.9283595085144,0.14154645800590515,463.62313890457153,240.04198741912842,0.081525057554245,530.0756149291992,285.7220802307129,0.2562521696090698
16,513.8622992038727,188.73939728736877,0.03720051050186157,500.1233326047659,263.1359438896179,0.9984133243560791,492.3467155992985,128.64220571517944,0.9791621565818787,520.8907217979431,126.05976247787476,0.9941755533218384,467.11635142564774,194.62823820114136,0.9995623826980591,538.0479116439819,188.84284949302673,0.9981108903884888,485.2738827466965,131.38766825199127,0.011880636215209961,529.8284101486206,131.90006113052368,0.013022184371948242,464.00229501724243,197.85303556919098,0.05518937110900879,541.3940210342407,237.6838617324829,0.028513818979263306
17,516.6845121383667,76.81911897659302,0.10463559627532959,500.1233326047659,247.60113406181335,0.9977353811264038,494.4220850467682,114.79547238349915,0.9909508228302002,525.5797176361084,107.61358338594437,0.9927470088005066,468.18049900233746,176.80443286895752,0.9992783069610596,538.2480936050415,167.8210699558258,0.997890830039978,488.27744483947754,112.95077919960022,0.03417283296585083,531.9031911343336,102.23798871040344,0.04738786816596985,466.32381939888,181.350510597229,0.07806983590126038,545.4059433937073,208.3263258934021,0.026638269424438477
